非洲	Afrique
年	Année (calendrier)
哥白尼	Nicolas Copernic
可利俄捌拿七世	Cléopâtre VII
音樂	Musique
莫斯科	Moscou
意大利語	Italien
北	Nord
南	Sud
印度	Inde
散文	Prose
鐵	Fer
西	Ouest
東	Est
莫里哀	Molière
莎士比亞	William Shakespeare
國際象棋	Échecs
成吉思汗	Gengis Khan
馬	Cheval
武器	Arme
動物	Animal
藝術	Art
哥倫比亞	Colombie
佛教	Bouddhisme
植物	Plante
達芬奇	Léonard de Vinci
雞	Gallus gallus domesticus
北冰洋	Océan Arctique
伊朗	Iran
伊拉克	Irak
阿拉斯加州	Alaska
以色列	Israël
亞利桑那州	Arizona
老撾	Laos
美洲	Amérique
馬來西亞	Malaisie
緬甸	Birmanie
巴基斯坦	Pakistan
網球	Tennis
沙特阿拉伯	Arabie saoudite
斯大林	Joseph Staline
柏拉圖	Platon
中華民國	Taïwan
亞里斯多德	Aristote
泰國	Thaïlande
火車	Train
無線電	Radiodiffusion
越南	Viêt Nam
韓國	Corée du Sud
金	Or
蘇伊士運河	Canal de Suez
孟加拉	Bangladesh
卡夫卡	Franz Kafka
蘇格拉底	Socrate
羅德·阿門森	Roald Amundsen
菲律賓	Philippines
南極點	Pôle Sud
北極點	Pôle Nord
牛頓	Isaac Newton
愛因斯坦	Albert Einstein
黃	Jaune
北京	Pékin
剛果民主共和國	République démocratique du Congo
聖安東尼奧 (德克薩斯州)	San Antonio
多托頁夫斯基	Fiodor Dostoïevski
甘地	Mohandas Karamchand Gandhi
人骨子頭畫	Bande dessinée
尼日利亞	Nigeria
達爾文	Charles Darwin
卡爾·林奈	Carl von Linné
凱撒大帝	Jules César
聯合國	Organisation des Nations unies
但丁	Dante Alighieri
地理學	Géographie
色	Couleur
藍	Bleu
銀	Argent
電	Charge électrique
耶路撒冷	Jérusalem
印度洋	Océan Indien
科索沃	Kosovo
蕭邦	Frédéric Chopin
分類:總類	Catégorie:Accueil
阿爾卑斯山	Alpes
帕斯卡	Blaise Pascal
西洋跳棋	Dames
芝加哥	Chicago
披頭士	The Beatles
西班牙語	Espagnol
巴赫	Johann Sebastian Bach
歌劇	Opéra
費城	Philadelphie
德里	Delhi
水果	Fruit (botanique)
錢	Monnaie
列寧	Vladimir Ilitch Lénine
衛吉	Virgile
屋大維	Auguste
汽車	Automobile
東京	Tokyo
麥哲倫	Fernand de Magellan
華格納	Richard Wagner
雅典	Athènes
世界標準時間	Temps universel coordonné
印地語	Hindi
阿肯色州	Arkansas
韻文	Vers
瑪當娜	Madonna
路易·暗式將	Louis Armstrong
法蘭克福	Francfort-sur-le-Main
聖經	Bible
胡志明市	Hô-Chi-Minh-Ville
真耶穌教會	Véritable Jésus Église
英語	Anglais
同海市	Đồng Hới
孔斯科沃拉	Końskowola
2000年	2000
2003年	2003
2002年	2002
2001年	2001
2012年	2012
2011年	2011
2010年	2010
2009年	2009
2013年	2013
2014年	2014
2015年	2015
2008年	2008
2004年	2004
2005年	2005
2006年	2006
2007年	2007
1900年	1900
1901年	1901
戴高樂	Charles de Gaulle
1902年	1902
1903年	1903
1904年	1904
1905年	1905
1907年	1907
1906年	1906
1908年	1908
1909年	1909
1992年	1992
1991年	1991
1990年	1990
1993年	1993
1994年	1994
1995年	1995
1996年	1996
1910年	1910
1911年	1911
1912年	1912
1913年	1913
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
喫嗰	Nourriture
1月1號	1er janvier
1月2號	2 janvier
1920年	1920
1月3號	3 janvier
1919年	1919
1921年	1921
1922年	1922
1月4號	4 janvier
1923年	1923
1924年	1924
1月5號	5 janvier
1月6號	6 janvier
1月7號	7 janvier
1月8號	8 janvier
1月9號	9 janvier
1月10號	10 janvier
1月11號	11 janvier
1月12號	12 janvier
1月13號	13 janvier
1月14號	14 janvier
1月15號	15 janvier
1月16號	16 janvier
1月17號	17 janvier
1月18號	18 janvier
1月19號	19 janvier
1月20號	20 janvier
工業革命	Révolution industrielle
1月21號	21 janvier
1月22號	22 janvier
1月23號	23 janvier
羅馬帝國	Empire romain
1月24號	24 janvier
1月25號	25 janvier
1月26號	26 janvier
微軟	Microsoft
1月27號	27 janvier
1月28號	28 janvier
1月29號	29 janvier
1月30號	30 janvier
1月31號	31 janvier
12月2號	2 décembre
12月1號	1er décembre
12月3號	3 décembre
12月7號	7 décembre
12月5號	5 décembre
12月8號	8 décembre
12月10號	10 décembre
12月6號	6 décembre
12月9號	9 décembre
12月4號	4 décembre
2月1號	1er février
2月2號	2 février
2月3號	3 février
庫魯夫市	Kurów
2月4號	4 février
2月5號	5 février
2月6號	6 février
2月7號	7 février
2月8號	8 février
2月9號	9 février
2月10號	10 février
化學	Chimie
2月14號	14 février
2月13號	13 février
2月15號	15 février
2月11號	11 février
2月12號	12 février
2月19號	19 février
2月17號	17 février
2月16號	16 février
2月18號	18 février
2月20號	20 février
2月21號	21 février
2月22號	22 février
2月23號	23 février
2月24號	24 février
2月25號	25 février
2月26號	26 février
27年	27
2月27號	27 février
2月28號	28 février
12月11號	11 décembre
2月29號	29 février
12月12號	12 décembre
12月13號	13 décembre
12月14號	14 décembre
12月15號	15 décembre
3月2號	2 mars
3月3號	3 mars
3月5號	5 mars
3月1號	1er mars
3月7號	7 mars
3月8號	8 mars
3月4號	4 mars
3月10號	10 mars
3月11號	11 mars
3月6號	6 mars
3月13號	13 mars
3月9號	9 mars
3月12號	12 mars
3月15號	15 mars
3月14號	14 mars
C++	C++
12月16號	16 décembre
12月17號	17 décembre
3月16號	16 mars
3月17號	17 mars
3月18號	18 mars
3月19號	19 mars
1989年	1989
1988年	1988
3月20號	20 mars
1987年	1987
1986年	1986
1985年	1985
1984年	1984
3月21號	21 mars
1983年	1983
3月22號	22 mars
1982年	1982
1981年	1981
12月18號	18 décembre
1980年	1980
3月23號	23 mars
12月19號	19 décembre
3月24號	24 mars
3月25號	25 mars
12月20號	20 décembre
3月26號	26 mars
3月27號	27 mars
3月28號	28 mars
3月29號	29 mars
3月30號	30 mars
3月31號	31 mars
1970年	1970
1971年	1971
1972年	1972
1973年	1973
1974年	1974
1975年	1975
1976年	1976
1977年	1977
1978年	1978
1979年	1979
1969年	1969
4月15號	15 avril
4月13號	13 avril
4月12號	12 avril
4月14號	14 avril
4月11號	11 avril
4月10號	10 avril
4月8號	8 avril
4月9號	9 avril
4月7號	7 avril
4月6號	6 avril
4月5號	5 avril
4月4號	4 avril
4月3號	3 avril
4月1號	1er avril
4月2號	2 avril
夏寶太空望遠鏡	Hubble (télescope spatial)
4月16號	16 avril
4月17號	17 avril
4月18號	18 avril
4月19號	19 avril
4月20號	20 avril
4月21號	21 avril
4月22號	22 avril
4月23號	23 avril
4月24號	24 avril
4月25號	25 avril
4月26號	26 avril
4月27號	27 avril
4月28號	28 avril
4月29號	29 avril
4月30號	30 avril
天然衛星	Satellite naturel
5月1號	1er mai
5月2號	2 mai
5月3號	3 mai
5月4號	4 mai
5月5號	5 mai
5月6號	6 mai
5月7號	7 mai
5月8號	8 mai
5月9號	9 mai
5月10號	10 mai
5月11號	11 mai
5月12號	12 mai
5月13號	13 mai
5月14號	14 mai
5月15號	15 mai
5月16號	16 mai
5月17號	17 mai
5月18號	18 mai
5月19號	19 mai
5月20號	20 mai
5月21號	21 mai
5月22號	22 mai
5月23號	23 mai
5月24號	24 mai
5月25號	25 mai
5月26號	26 mai
5月27號	27 mai
5月28號	28 mai
5月29號	29 mai
5月30號	30 mai
5月31號	31 mai
12月21號	21 décembre
6月14號	14 juin
6月15號	15 juin
6月13號	13 juin
6月10號	10 juin
6月7號	7 juin
6月11號	11 juin
6月9號	9 juin
6月12號	12 juin
6月6號	6 juin
6月8號	8 juin
6月5號	5 juin
6月3號	3 juin
6月2號	2 juin
6月1號	1er juin
6月4號	4 juin
12月22號	22 décembre
1968年	1968
1967年	1967
1966年	1966
1965年	1965
1964年	1964
6月16號	16 juin
6月30號	30 juin
6月29號	29 juin
6月28號	28 juin
6月26號	26 juin
6月25號	25 juin
6月22號	22 juin
6月27號	27 juin
6月24號	24 juin
6月20號	20 juin
6月23號	23 juin
6月19號	19 juin
6月18號	18 juin
6月21號	21 juin
6月17號	17 juin
12月23號	23 décembre
7月15號	15 juillet
7月13號	13 juillet
7月12號	12 juillet
7月10號	10 juillet
7月9號	9 juillet
7月14號	14 juillet
7月8號	8 juillet
7月7號	7 juillet
7月6號	6 juillet
7月5號	5 juillet
7月2號	2 juillet
7月4號	4 juillet
7月3號	3 juillet
7月1號	1er juillet
7月11號	11 juillet
12月24號	24 décembre
7月31號	31 juillet
7月30號	30 juillet
7月29號	29 juillet
7月28號	28 juillet
7月27號	27 juillet
7月25號	25 juillet
7月24號	24 juillet
7月23號	23 juillet
7月26號	26 juillet
7月22號	22 juillet
7月19號	19 juillet
7月21號	21 juillet
7月20號	20 juillet
7月17號	17 juillet
7月18號	18 juillet
7月16號	16 juillet
腳球	Football
音樂劇	Comédie musicale
12月25號	25 décembre
1963年	1963
12月26號	26 décembre
1962年	1962
8月14號	14 août
8月15號	15 août
8月13號	13 août
8月12號	12 août
8月11號	11 août
8月10號	10 août
8月8號	8 août
8月7號	7 août
8月9號	9 août
8月5號	5 août
8月4號	4 août
8月2號	2 août
8月3號	3 août
8月6號	6 août
8月1號	1er août
12月27號	27 décembre
潛水艇	Sous-marin
8月16號	16 août
8月29號	29 août
8月28號	28 août
8月30號	30 août
8月25號	25 août
8月26號	26 août
8月23號	23 août
8月27號	27 août
8月21號	21 août
8月20號	20 août
8月24號	24 août
8月18號	18 août
8月17號	17 août
8月22號	22 août
8月19號	19 août
8月31號	31 août
麥可·傑克遜	Michael Jackson
12月28號	28 décembre
9月15號	15 septembre
9月14號	14 septembre
9月13號	13 septembre
9月12號	12 septembre
9月8號	8 septembre
9月11號	11 septembre
9月7號	7 septembre
9月10號	10 septembre
9月5號	5 septembre
9月4號	4 septembre
9月9號	9 septembre
9月2號	2 septembre
9月6號	6 septembre
9月1號	1er septembre
9月3號	3 septembre
12月29號	29 décembre
9月30號	30 septembre
9月29號	29 septembre
9月28號	28 septembre
9月27號	27 septembre
9月26號	26 septembre
9月25號	25 septembre
9月23號	23 septembre
9月22號	22 septembre
9月24號	24 septembre
9月21號	21 septembre
9月20號	20 septembre
9月18號	18 septembre
9月17號	17 septembre
9月19號	19 septembre
9月16號	16 septembre
12月30號	30 décembre
12月31號	31 décembre
10月1號	1er octobre
10月15號	15 octobre
10月12號	12 octobre
10月10號	10 octobre
10月14號	14 octobre
10月9號	9 octobre
10月8號	8 octobre
10月13號	13 octobre
10月7號	7 octobre
10月11號	11 octobre
10月6號	6 octobre
10月4號	4 octobre
10月5號	5 octobre
10月3號	3 octobre
10月2號	2 octobre
10月31號	31 octobre
10月30號	30 octobre
10月29號	29 octobre
10月28號	28 octobre
10月26號	26 octobre
10月25號	25 octobre
10月24號	24 octobre
10月27號	27 octobre
10月22號	22 octobre
10月23號	23 octobre
10月20號	20 octobre
10月21號	21 octobre
10月19號	19 octobre
10月17號	17 octobre
10月16號	16 octobre
10月18號	18 octobre
11月15號	15 novembre
11月14號	14 novembre
11月13號	13 novembre
11月12號	12 novembre
11月11號	11 novembre
11月10號	10 novembre
11月7號	7 novembre
11月8號	8 novembre
11月9號	9 novembre
11月6號	6 novembre
11月5號	5 novembre
11月4號	4 novembre
11月3號	3 novembre
11月2號	2 novembre
11月1號	1er novembre
男仔子	Garçon
11月30號	30 novembre
11月29號	29 novembre
11月28號	28 novembre
11月27號	27 novembre
11月26號	26 novembre
11月25號	25 novembre
11月23號	23 novembre
11月24號	24 novembre
11月21號	21 novembre
11月20號	20 novembre
11月22號	22 novembre
11月19號	19 novembre
11月18號	18 novembre
11月17號	17 novembre
11月16號	16 novembre
女仔子	Fille
沙利門大帝	Charlemagne
紅色	Rouge
火	Feu
尼羅河	Nil
1961年	1961
1960年	1960
亞馬孫河	Amazone (fleuve)
天狗喫日頭	Éclipse solaire
大學	Université
Wikipedia:沙盤	Wikipédia:Bac à sable
屋	Maison
代數	Algèbre
地圖	Carte géographique
江	Rivière
俄舍斯科	Osasco (Brésil)
同海機場	Aéroport de Đồng Hới
太空	Espace (cosmologie)
望遠鏡	Télescope
森林	Forêt
分類:1888年	Catégorie:1888
濟酋余化盧	Zichyújfalu
分類:1481年過世	Catégorie:Décès en 1481
分類:1421年出世	Catégorie:Naissance en 1421
分類:1421年	Catégorie:1421
分類:1481年	Catégorie:1481
孔子	Confucius
科賓·布魯	Corbin Bleu
分類:數學	Catégorie:Mathématiques
分類:1888年出世	Catégorie:Naissance en 1888
1488年	1488
歐元	Euro
美金	Dollar américain
地中海	Mer Méditerranée
基督教	Christianisme
1004年	1004
西雅圖	Seattle
禾	Riz
大洲	Continent
葡萄牙語	Portugais
慕斯他化·克麥·阿塔突	Mustafa Kemal Atatürk
1948年	1948
1949年	1949
黄现璠	Huang Xianfan
1956年	1956
1200年	1200
1201年	1201
1202年	1202
1203年	1203
1204年	1204
1205年	1205
1206年	1206
1941年	1941
1207年	1207
1208年	1208
1945年	1945
1209年	1209
1210年	1210
1211年	1211
1958年	1958
1212年	1212
1926年	1926
1213年	1213
1947年	1947
1944年	1944
1952年	1952
日语	Japonais
百科全書	Encyclopédie
封面	Wikipédia:Accueil principal
1959年	1959
1957年	1957
電容	Condensateur (électricité)
晶體管	Transistor
1214年	1214
1215年	1215
1216年	1216
1217年	1217
1218年	1218
1219年	1219
1220年	1220
1221年	1221
1222年	1222
1223年	1223
1224年	1224
1225年	1225
1226年	1226
1227年	1227
1228年	1228
1229年	1229
1230年	1230
長江	Yangzi Jiang
1231年	1231
1232年	1232
1233年	1233
1234年	1234
1235年	1235
1236年	1236
1237年	1237
1238年	1238
1239年	1239
1240年	1240
1241年	1241
1242年	1242
1243年	1243
1244年	1244
1245年	1245
1246年	1246
喜馬拉雅山脈	Himalaya
安底斯山脈	Cordillère des Andes
1247年	1247
1248年	1248
裡海	Mer Caspienne
1249年	1249
1250年	1250
1251年	1251
1252年	1252
1254年	1254
1255年	1255
1256年	1256
1257年	1257
1258年	1258
1259年	1259
1260年	1260
1261年	1261
1262年	1262
1263年	1263
1264年	1264
1265年	1265
1266年	1266
1267年	1267
1268年	1268
1269年	1269
1270年	1270
1271年	1271
1272年	1272
1273年	1273
1274年	1274
1275年	1275
1276年	1276
1277年	1277
1278年	1278
1279年	1279
1280年	1280
1281年	1281
1282年	1282
1283年	1283
1284年	1284
1285年	1285
1286年	1286
1287年	1287
1288年	1288
1289年	1289
1290年	1290
1291年	1291
1292年	1292
1293年	1293
1294年	1294
1295年	1295
1296年	1296
1297年	1297
1298年	1298
1299年	1299
答利	Salvador Dalí
梵高	Vincent van Gogh
葛飾北齋	Hokusai
米開朗琪羅	Michel-Ange
畢加索	Pablo Picasso
藍郎特	Rembrandt
1300年	1300
1301年	1301
1302年	1302
1303年	1303
1304年	1304
1305年	1305
安徒生	Hans Christian Andersen
拜倫	Lord Byron
塞萬提斯	Miguel de Cervantes
1306年	1306
1307年	1307
1308年	1308
1309年	1309
1310年	1310
1311年	1311
1312年	1312
1313年	1313
1314年	1314
1315年	1315
1316年	1316
1317年	1317
1318年	1318
1319年	1319
1320年	1320
1321年	1321
1322年	1322
1323年	1323
1324年	1324
1325年	1325
1326年	1326
1327年	1327
1328年	1328
麥加	La Mecque
毛澤東	Mao Zedong
西安	Xi'an
被服	Couverture (literie)
歌德	Johann Wolfgang von Goethe
屄	Vagin
V·禍·魂得他	V pour Vendetta (film)
哲學	Philosophie
1329年	1329
分類:快速刪吥	Catégorie:Wikipédia:Suppression immédiate demandée
1330年	1330
1331年	1331
1332年	1332
1333年	1333
1334年	1334
1335年	1335
1336年	1336
1337年	1337
1338年	1338
1339年	1339
1340年	1340
1341年	1341
1342年	1342
1343年	1343
1344年	1344
1345年	1345
1346年	1346
1347年	1347
1348年	1348
1349年	1349
1350年	1350
茶	Thé
馬可·波羅	Marco Polo
1351年	1351
波特蘭 (奧勒岡州)	Portland
1400年	1400
1401年	1401
1352年	1352
1402年	1402
1353年	1353
1403年	1403
1354年	1354
1404年	1404
1355年	1355
1405年	1405
1500年	1500
1406年	1406
1356年	1356
1501年	1501
1407年	1407
1357年	1357
1502年	1502
1408年	1408
1358年	1358
1503年	1503
1359年	1359
1409年	1409
1504年	1504
1360年	1360
1410年	1410
1505年	1505
1506年	1506
1411年	1411
1361年	1361
1507年	1507
1412年	1412
1362年	1362
1413年	1413
1508年	1508
1363年	1363
1509年	1509
1414年	1414
1510年	1510
1415年	1415
1364年	1364
共產主義	Communisme
1511年	1511
1416年	1416
1365年	1365
1512年	1512
1417年	1417
1366年	1366
1513年	1513
1418年	1418
1367年	1367
1514年	1514
1419年	1419
資本主義	Capitalisme
1368年	1368
1515年	1515
1420年	1420
1369年	1369
1516年	1516
1421年	1421
1370年	1370
1371年	1371
國家	Pays
1372年	1372
1373年	1373
1422年	1422
1517年	1517
1423年	1423
1518年	1518
1374年	1374
1424年	1424
1375年	1375
1519年	1519
1376年	1376
1425年	1425
1520年	1520
1521年	1521
1377年	1377
1426年	1426
1522年	1522
1523年	1523
1427年	1427
1378年	1378
1524年	1524
1525年	1525
1428年	1428
1379年	1379
1526年	1526
1429年	1429
1380年	1380
1381年	1381
1382年	1382
1383年	1383
1430年	1430
1431年	1431
印第安納波利斯	Indianapolis
1384年	1384
1432年	1432
1385年	1385
1386年	1386
1433年	1433
1387年	1387
1434年	1434
1435年	1435
1388年	1388
1436年	1436
1389年	1389
1437年	1437
1390年	1390
1438年	1438
1391年	1391
1439年	1439
1392年	1392
1440年	1440
1393年	1393
1394年	1394
1395年	1395
1441年	1441
1396年	1396
1397年	1397
1442年	1442
1527年	1527
1528年	1528
1398年	1398
1443年	1443
1444年	1444
1529年	1529
1399年	1399
1445年	1445
1530年	1530
1446年	1446
1531年	1531
1447年	1447
1532年	1532
1448年	1448
蒙彼利埃	Montpellier
1533年	1533
1449年	1449
1534年	1534
1450年	1450
1535年	1535
1451年	1451
1536年	1536
1452年	1452
1537年	1537
1453年	1453
1538年	1538
1454年	1454
1539年	1539
1455年	1455
1540年	1540
睗著嗰惠尼根	Finnegans Wake
分類:天文	Catégorie:Astronomie
尤利西斯	Ulysse (roman)
1541年	1541
1456年	1456
1457年	1457
1542年	1542
1458年	1458
1543年	1543
1459年	1459
1544年	1544
1460年	1460
1545年	1545
1461年	1461
1546年	1546
1462年	1462
1547年	1547
1463年	1463
1548年	1548
1464年	1464
1549年	1549
1465年	1465
1550年	1550
1466年	1466
1551年	1551
1467年	1467
1468年	1468
1552年	1552
1469年	1469
1553年	1553
1470年	1470
1554年	1554
1471年	1471
1555年	1555
撒哈拉沙漠	Sahara
1472年	1472
1556年	1556
1473年	1473
1557年	1557
1474年	1474
1558年	1558
1475年	1475
1559年	1559
1476年	1476
1560年	1560
1477年	1477
1478年	1478
1561年	1561
1479年	1479
1562年	1562
1480年	1480
1563年	1563
1481年	1481
1564年	1564
1482年	1482
1565年	1565
1483年	1483
1566年	1566
1484年	1484
1567年	1567
1485年	1485
1486年	1486
1568年	1568
1487年	1487
1569年	1569
1570年	1570
1489年	1489
1571年	1571
1490年	1490
1572年	1572
1491年	1491
1573年	1573
1492年	1492
1574年	1574
1493年	1493
1575年	1575
荷馬	Homère
1494年	1494
1495年	1495
1496年	1496
1576年	1576
1497年	1497
1577年	1577
1498年	1498
1578年	1578
1499年	1499
1579年	1579
1580年	1580
1581年	1581
1582年	1582
1600年	1600
高斯	Carl Friedrich Gauss
1601年	1601
1583年	1583
1602年	1602
1584年	1584
1603年	1603
1585年	1585
1604年	1604
1586年	1586
1605年	1605
1587年	1587
1606年	1606
1607年	1607
1588年	1588
1608年	1608
1589年	1589
1609年	1609
1590年	1590
1610年	1610
1591年	1591
1611年	1611
1592年	1592
1612年	1612
1593年	1593
1613年	1613
1594年	1594
1614年	1614
1595年	1595
1615年	1615
1596年	1596
1616年	1616
1597年	1597
1617年	1617
1598年	1598
1618年	1618
1599年	1599
1619年	1619
1620年	1620
1621年	1621
1700年	1700
1701年	1701
1622年	1622
1623年	1623
1702年	1702
1624年	1624
1703年	1703
1704年	1704
1625年	1625
1705年	1705
1626年	1626
1627年	1627
1706年	1706
1628年	1628
1707年	1707
1708年	1708
1629年	1629
1630年	1630
1709年	1709
1631年	1631
1710年	1710
1632年	1632
1711年	1711
1633年	1633
1712年	1712
1634年	1634
1713年	1713
1800年	1800
1801年	1801
1714年	1714
1635年	1635
詹姆斯·喬伊斯	James Joyce
1802年	1802
1715年	1715
1636年	1636
1803年	1803
1637年	1637
1716年	1716
1638年	1638
1804年	1804
1717年	1717
1639年	1639
1805年	1805
1718年	1718
1640年	1640
1719年	1719
1806年	1806
1641年	1641
1720年	1720
1807年	1807
1642年	1642
1721年	1721
1808年	1808
1643年	1643
1722年	1722
1809年	1809
1644年	1644
1723年	1723
1810年	1810
1645年	1645
1724年	1724
20世紀	XXe siècle
1811年	1811
1646年	1646
1725年	1725
1812年	1812
1647年	1647
1726年	1726
1813年	1813
21世紀	XXIe siècle
1648年	1648
1727年	1727
1814年	1814
1649年	1649
1728年	1728
1815年	1815
1650年	1650
1729年	1729
1816年	1816
19世紀	XIXe siècle
1651年	1651
1730年	1730
1817年	1817
1652年	1652
1731年	1731
1818年	1818
1653年	1653
1732年	1732
1819年	1819
1654年	1654
1733年	1733
1820年	1820
1655年	1655
1821年	1821
1734年	1734
1656年	1656
1822年	1822
1735年	1735
1657年	1657
1823年	1823
1736年	1736
1658年	1658
1737年	1737
1824年	1824
1659年	1659
1738年	1738
1825年	1825
1660年	1660
1739年	1739
1826年	1826
1661年	1661
1740年	1740
1827年	1827
18世紀	XVIIIe siècle
17世紀	XVIIe siècle
16世紀	XVIe siècle
15世紀	XVe siècle
14世紀	XIVe siècle
13世紀	XIIIe siècle
12世紀	XIIe siècle
11世紀	XIe siècle
享樂主義	Hédonisme
李白	Li Bai
圖書館	Bibliothèque
唯物主義	Matérialisme
玻爾	Niels Bohr
意識	Conscience
生物技術	Biotechnologie
秦	Dynastie Qin
北大西洋公約組織	Organisation du traité de l'Atlantique Nord
居里夫人	Marie Curie
諾貝爾獎	Prix Nobel
秦始皇	Qin Shi Huang
中東	Moyen-Orient
伊麗莎白一世	Élisabeth Ire (reine d'Angleterre)
漢	Dynastie Han
劉徹	Han Wudi
聖女貞德	Jeanne d'Arc
所霍利茲	Sophocle
托爾斯泰	Léon Tolstoï
圖靈	Alan Turing
馬克思主義	Marxisme
凍嘴	Baiser
元	Dynastie Yuan
伊戈·式査溫斯基	Igor Stravinsky
朱澤魄·渥帝	Giuseppe Verdi
拿可·卡帖	Jacques Cartier
哥倫布	Christophe Colomb
庫克船長	James Cook
伊本·巴杜他	Ibn Battûta
鄭和	Zheng He
大堡礁	Grande barrière de corail
巴拿馬運河	Canal de Panama
晉	Dynastie Jin (265-420)
南冰洋	Océan Austral
耳刀	Oreille
鼻公	Nez
眼睛	Œil
羊	Mouton
象	Éléphant
隋	Dynastie Sui
宋	Dynastie Song
忽必烈	Kubilai Khan
娘	Mère
雪	Neige
爺	Père
細伢子	Enfant
1828年	1828
1829年	1829
1741年	1741
1662年	1662
1742年	1742
1830年	1830
1663年	1663
1831年	1831
1743年	1743
1664年	1664
1665年	1665
1744年	1744
1832年	1832
1666年	1666
1745年	1745
1833年	1833
1667年	1667
1746年	1746
運輸	Transport
1834年	1834
1668年	1668
1747年	1747
1835年	1835
1748年	1748
1836年	1836
1669年	1669
歐拉	Leonhard Euler
1670年	1670
1749年	1749
1837年	1837
1671年	1671
1750年	1750
1838年	1838
1672年	1672
1751年	1751
1839年	1839
1673年	1673
1752年	1752
1840年	1840
1674年	1674
1753年	1753
1841年	1841
1754年	1754
1675年	1675
1842年	1842
1755年	1755
1676年	1676
1843年	1843
1677年	1677
1756年	1756
1844年	1844
1678年	1678
1757年	1757
1845年	1845
1679年	1679
1758年	1758
1846年	1846
1680年	1680
1759年	1759
1847年	1847
1681年	1681
1760年	1760
1848年	1848
1682年	1682
1761年	1761
1849年	1849
1683年	1683
1762年	1762
1850年	1850
1684年	1684
1763年	1763
1851年	1851
1764年	1764
1685年	1685
1852年	1852
1686年	1686
1765年	1765
1853年	1853
1687年	1687
1766年	1766
1854年	1854
1688年	1688
